ICAO,FAA,GHCND
KCOS       ,COS      ,USW00093037 
KPUB       ,PUB      ,USW00093058 
KCQT       ,CQT      ,USW00093134 
KFAT       ,FAT      ,USW00093193 
KBWI       ,BWI      ,USW00093721 
KHSE       ,HSE      ,USW00093729 
KACY       ,ACY      ,USW00093730 
KIAD       ,IAD      ,USW00093738 
KWAL       ,WAL      ,USW00093739 
KTLH       ,TLH      ,USW00093805 
KCVG       ,CVG      ,USW00093814 
KDAY       ,DAY      ,USW00093815 
KEVV       ,EVV      ,USW00093817 
KIND       ,IND      ,USW00093819 
KLEX       ,LEX      ,USW00093820 
KSDF       ,SDF      ,USW00093821 
KSPI       ,SPI      ,USW00093822 
KCSG       ,CSG      ,USW00093842 
KTUP       ,KTUP     ,USW00093862 
KGGW       ,GGW      ,USW00094008 
KHVR       ,HVR      ,USW00094012 
KBNO       ,BNO      ,USW00094185 
KAST       ,AST      ,USW00094224 
KUIL       ,UIL      ,USW00094240 
KSEW       ,SEW      ,USW00094290 
KBDR       ,BDR      ,USW00094702 
KNYC       ,NYC      ,USW00094728 
KORH       ,ORH      ,USW00094746 
KJFK       ,JFK      ,USW00094789 
KHTL       ,HTL      ,USW00094814 
KRFD       ,RFD      ,USW00094822 
KPIT       ,PIT      ,USW00094823 
KTOL       ,TOL      ,USW00094830 
KORD       ,ORD      ,USW00094846 
KDTW       ,DTW      ,USW00094847 
KAPN       ,APN      ,USW00094849 
KMQT       ,MQT      ,USW00094850 
KGRR       ,GRR      ,USW00094860 
KDBQ       ,DBQ      ,USW00094908 
KALO       ,ALO      ,USW00094910 
